Episode Length,PPO,SAC,DPPO,PPO-MPC,PPO (GEN),SAC (GEN),DPPO (GEN)
15,0.099 +/- 0.001,0.048 +/- 0.000,0.111 +/- 0.001,0.004 +/- 0.000,0.016 +/- 0.003,0.014 +/- 0.015,0.021 +/- 0.005
14,0.078 +/- 0.001,0.038 +/- 0.000,0.087 +/- 0.001,0.004 +/- 0.000,0.015 +/- 0.003,0.014 +/- 0.013,0.021 +/- 0.005
13,0.054 +/- 0.001,0.028 +/- 0.000,0.061 +/- 0.001,0.004 +/- 0.000,0.015 +/- 0.004,0.014 +/- 0.012,0.022 +/- 0.005
12,0.028 +/- 0.001,0.016 +/- 0.000,0.032 +/- 0.001,0.005 +/- 0.000,0.016 +/- 0.003,0.015 +/- 0.011,0.023 +/- 0.006
11,0.009 +/- 0.001,0.009 +/- 0.000,0.010 +/- 0.001,0.006 +/- 0.000,0.017 +/- 0.003,0.015 +/- 0.009,0.025 +/- 0.006
10,0.037 +/- 0.001,0.024 +/- 0.001,0.041 +/- 0.001,0.009 +/- 0.001,0.020 +/- 0.004,0.019 +/- 0.008,0.029 +/- 0.007
9,0.084 +/- 0.001,0.145 +/- 0.049,0.093 +/- 0.001,0.017 +/- 0.003,0.027 +/- 0.004,0.025 +/- 0.008,0.035 +/- 0.007
