Episode Length,PPO,SAC,DPPO,PPO-MPC
15,0.099 +/- 0.001,0.048 +/- 0.000,0.111 +/- 0.001,0.004 +/- 0.000
14,0.078 +/- 0.001,0.038 +/- 0.000,0.087 +/- 0.001,0.004 +/- 0.000
13,0.054 +/- 0.001,0.028 +/- 0.000,0.061 +/- 0.001,0.004 +/- 0.000
12,0.028 +/- 0.001,0.016 +/- 0.000,0.032 +/- 0.001,0.005 +/- 0.000
11,0.009 +/- 0.001,0.009 +/- 0.000,0.010 +/- 0.001,0.006 +/- 0.000
10,0.037 +/- 0.001,0.024 +/- 0.001,0.041 +/- 0.001,0.009 +/- 0.001
9,0.084 +/- 0.001,0.145 +/- 0.049,0.093 +/- 0.001,0.017 +/- 0.003
